Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial	Timestamp	EventType	XMousePosition	YMousePosition	XTargetPosition	YTargetPosition
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666302	Start	339	2	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666401	MouseMove	659	361	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666417	MouseMove	664	355	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666434	MouseMove	665	351	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666450	MouseMove	669	346	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666468	MouseMove	672	342	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666485	MouseMove	674	339	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666501	MouseMove	675	337	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666518	MouseMove	677	337	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642666533	MouseMove	677	336	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667241	MouseMove	679	336	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667253	MouseMove	679	338	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667269	MouseMove	684	344	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667285	MouseMove	713	363	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667300	MouseMove	727	369	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667317	MouseMove	811	391	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667333	MouseMove	867	401	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667350	MouseMove	986	417	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667367	MouseMove	1052	423	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667383	MouseOver	1052	423	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667384	MouseMove	1122	425	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667399	MouseOut	1122	425	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667401	MouseMove	1218	429	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667417	MouseMove	1246	431	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667434	MouseMove	1276	431	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667451	MouseMove	1280	431	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667466	MouseMove	1282	431	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667486	MouseMove	1284	433	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667500	MouseMove	1293	439	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667517	MouseMove	1304	445	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667534	MouseMove	1342	460	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667551	MouseMove	1464	498	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667702	MouseMove	1435	533	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667717	MouseMove	1406	528	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667733	MouseMove	1336	511	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667750	MouseMove	1285	499	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667766	MouseMove	1205	483	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667783	MouseMove	1182	478	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667799	MouseMove	1162	477	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667816	MouseMove	1159	477	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667891	MouseMove	1158	477	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667904	MouseMove	1156	477	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667918	MouseMove	1149	477	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667936	MouseMove	1134	474	1133.5	436.5
P3	PointCursor	80	8	6.64	Droite	0	0	1577642667951	MouseMove	1110	470	1133.5	436.5
