Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial	TimeSinceTrialBeginning	distanceBetweenTargetAndClick	ClickOnTarget
P1	PointCursor	80	8	6.64	Gauche	0	0	1510	4.743416490252569	false
P1	PointCursor	80	8	6.64	Gauche	0	0	2332	2.6419689627245813	true
P1	PointCursor	160	8	6.64	Droite	0	1	1269	2.9966648127543394	true
P1	PointCursor	160	8	6.64	Gauche	0	2	1273	6.3639610306789285	false
P1	PointCursor	160	8	6.64	Gauche	0	2	1723	0.9486832980505139	true
P1	PointCursor	160	8	6.64	Droite	0	3	1607	1.9026297590440446	true
P1	PointCursor	160	8	6.64	Gauche	0	4	1384	2.1587033144922905	true
P1	BubbleCursor	160	8	6.64	Droite	1	0	809	15.748650735856708	true
P1	BubbleCursor	160	8	6.64	Gauche	1	1	381	72.40511031688303	true
P1	BubbleCursor	160	8	6.64	Droite	1	2	438	60.20182721479473	true
P1	BubbleCursor	160	8	6.64	Gauche	1	3	461	72.19487516437714	true
P1	BubbleCursor	160	8	6.64	Droite	1	4	439	63.44588245110947	true
P1	PointCursor	160	8	2.82	Gauche	2	0	1495	3.7336309405188945	true
P1	PointCursor	160	8	2.82	Droite	2	1	1296	2.024845673131659	true
P1	PointCursor	160	8	2.82	Gauche	2	2	1022	2.6419689627245813	true
P1	PointCursor	160	8	2.82	Droite	2	3	1010	0.9486832980505139	true
P1	PointCursor	160	8	2.82	Gauche	2	4	889	1.5811388300841898	true
P1	BubbleCursor	160	8	2.82	Droite	3	0	877	4.244997055358225	true
P1	BubbleCursor	160	8	2.82	Gauche	3	1	1068	15.020652449211386	true
P1	BubbleCursor	160	8	2.82	Droite	3	2	844	4.420407221060069	true
P1	BubbleCursor	160	8	2.82	Gauche	3	3	1012	16.857639217873896	false
P1	BubbleCursor	160	8	2.82	Gauche	3	3	1551	14.483784035948617	true
P1	BubbleCursor	160	8	2.82	Droite	3	4	912	11.751595636338072	true
P1	PointCursor	160	8	1.54	Gauche	4	0	1271	3.635931792539569	true
P1	PointCursor	160	8	1.54	Droite	4	1	968	2.1400934559032696	true
P1	PointCursor	160	8	1.54	Gauche	4	2	1056	0.8602325267042628	true
P1	PointCursor	160	8	1.54	Droite	4	3	946	0.5830951894845301	true
P1	PointCursor	160	8	1.54	Gauche	4	4	1202	2.1400934559032696	true
P1	BubbleCursor	160	8	1.54	Droite	5	0	1010	9.183681179135085	true
P1	BubbleCursor	160	8	1.54	Gauche	5	1	1170	5.375872022286245	true
P1	BubbleCursor	160	8	1.54	Droite	5	2	1452	8.02122185206219	true
P1	BubbleCursor	160	8	1.54	Gauche	5	3	843	7.306161783043132	true
P1	BubbleCursor	160	8	1.54	Droite	5	4	1562	11.175866856758809	true
P1	PointCursor	160	8	0.91	Gauche	6	0	1002	2.1400934559032696	true
P1	PointCursor	160	8	0.91	Droite	6	1	1013	1.140175425099138	true
P1	PointCursor	160	8	0.91	Gauche	6	2	809	2.353720459187964	true
P1	PointCursor	160	8	0.91	Droite	6	3	1113	1.3341664064126335	true
P1	PointCursor	160	8	0.91	Gauche	6	4	1214	3.264965543462902	true
P1	BubbleCursor	160	8	0.91	Droite	7	0	901	6.906518659932804	true
P1	BubbleCursor	160	8	0.91	Gauche	7	1	1146	6.906518659932804	true
P1	BubbleCursor	160	8	0.91	Droite	7	2	1214	8.700574693662483	true
P1	BubbleCursor	160	8	0.91	Gauche	7	3	1168	2.024845673131659	true
P1	BubbleCursor	160	8	0.91	Droite	7	4	1192	4.675467891024384	true
P1	PointCursor	160	8	0.52	Gauche	8	0	1180	1.7029386365926404	true
P1	PointCursor	160	8	0.52	Droite	8	1	1045	1.7262676501632068	true
P1	PointCursor	160	8	0.52	Gauche	8	2	1248	1.7262676501632068	true
P1	PointCursor	160	8	0.52	Droite	8	3	1093	2.9966648127543394	true
P1	PointCursor	160	8	0.52	Gauche	8	4	1125	2.3706539182259396	true
P1	BubbleCursor	160	8	0.52	Droite	9	0	1045	5.375872022286245	true
P1	BubbleCursor	160	8	0.52	Gauche	9	1	1598	3.3136083051561784	true
P1	BubbleCursor	160	8	0.52	Droite	9	2	1014	5.178802950489621	true
P1	BubbleCursor	160	8	0.52	Gauche	9	3	878	4.43846820423443	true
P1	BubbleCursor	160	8	0.52	Droite	9	4	1281	0.5830951894845301	true
