Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial	TimeSinceTrialBeginning	distanceBetweenTargetAndClick	ClickOnTarget
P2	BubbleCursor	80	8	6.64	Droite	0	0	9010	0.9486832980505139	true
P2	BubbleCursor	160	8	6.64	Gauche	0	1	3013	0.8602325267042628	true
P2	BubbleCursor	160	8	6.64	Droite	0	2	1621	1.503329637837291	true
P2	BubbleCursor	160	8	6.64	Gauche	0	3	1630	3.361547262794322	true
P2	BubbleCursor	160	8	6.64	Droite	0	4	3432	1.6552945357246849	true
P2	PointCursor	160	8	6.64	Gauche	1	0	1901	4.8270073544588685	true
P2	PointCursor	160	8	6.64	Droite	1	1	1463	1.392838827718412	true
P2	PointCursor	160	8	6.64	Gauche	1	2	1654	1.140175425099138	true
P2	PointCursor	160	8	6.64	Droite	1	3	1519	0.5099019513592785	true
P2	PointCursor	160	8	6.64	Gauche	1	4	1585	0.7615773105863909	true
P2	BubbleCursor	160	8	2.82	Droite	2	0	2599	2.024845673131659	true
P2	BubbleCursor	160	8	2.82	Gauche	2	1	2115	1.30384048104053	true
P2	BubbleCursor	160	8	2.82	Droite	2	2	2340	1.47648230602334	true
P2	BubbleCursor	160	8	2.82	Gauche	2	3	1823	2.1400934559032696	true
P2	BubbleCursor	160	8	2.82	Droite	2	4	1991	1.5297058540778357	true
P2	PointCursor	160	8	2.82	Gauche	3	0	1748	2.195449840010015	true
P2	PointCursor	160	8	2.82	Droite	3	1	1721	0.316227766016838	true
P2	PointCursor	160	8	2.82	Gauche	3	2	1755	1.5811388300841898	true
P2	PointCursor	160	8	2.82	Droite	3	3	1214	2.102379604162864	true
P2	PointCursor	160	8	2.82	Gauche	3	4	1451	3.9217343102255158	true
P2	BubbleCursor	160	8	1.54	Droite	4	0	1688	2.195449840010015	true
P2	BubbleCursor	160	8	1.54	Gauche	4	1	1372	0.5830951894845301	true
P2	BubbleCursor	160	8	1.54	Droite	4	2	1541	2.5495097567963927	true
P2	BubbleCursor	160	8	1.54	Gauche	4	3	1294	2.102379604162864	true
P2	BubbleCursor	160	8	1.54	Droite	4	4	1710	2.9154759474226504	true
P2	PointCursor	160	8	1.54	Gauche	5	0	1766	2.6870057685088806	true
P2	PointCursor	160	8	1.54	Droite	5	1	1867	1.7029386365926404	true
P2	PointCursor	160	8	1.54	Gauche	5	2	1384	0.5099019513592785	true
P2	PointCursor	160	8	1.54	Droite	5	3	1494	0.8602325267042628	true
P2	PointCursor	160	8	1.54	Gauche	5	4	1102	1.8601075237738276	true
P2	BubbleCursor	160	8	0.91	Droite	6	0	1733	2.4698178070456938	true
P2	BubbleCursor	160	8	0.91	Gauche	6	1	1608	2.9154759474226504	true
P2	BubbleCursor	160	8	0.91	Droite	6	2	1450	1.2083045973594573	true
P2	BubbleCursor	160	8	0.91	Gauche	6	3	1464	1.7492855684535902	true
P2	BubbleCursor	160	8	0.91	Droite	6	4	2586	1.503329637837291	true
P2	PointCursor	160	8	0.91	Gauche	7	0	1655	2.4041630560342617	true
P2	PointCursor	160	8	0.91	Droite	7	1	1776	4.08166632639171	true
P2	PointCursor	160	8	0.91	Gauche	7	2	1744	4.50111097397076	false
P2	PointCursor	160	8	0.91	Gauche	7	2	2454	1.3341664064126335	true
P2	PointCursor	160	8	0.91	Droite	7	3	3352	5.679788728465171	false
P2	PointCursor	160	8	0.91	Droite	7	3	4118	1.5811388300841898	true
P2	PointCursor	160	8	0.91	Gauche	7	4	1530	3.1144823004794873	true
P2	BubbleCursor	160	8	0.52	Droite	8	0	1777	2.98328677803526	true
P2	BubbleCursor	160	8	0.52	Gauche	8	1	1268	1.2727922061357857	true
P2	BubbleCursor	160	8	0.52	Droite	8	2	1350	0.7615773105863909	true
P2	BubbleCursor	160	8	0.52	Gauche	8	3	1631	1.7492855684535902	true
P2	BubbleCursor	160	8	0.52	Droite	8	4	1191	1.7029386365926404	true
P2	PointCursor	160	8	0.52	Gauche	9	0	1577	0.7071067811865476	true
P2	PointCursor	160	8	0.52	Droite	9	1	1418	1.6552945357246849	true
P2	PointCursor	160	8	0.52	Gauche	9	2	1631	1.7262676501632068	true
P2	PointCursor	160	8	0.52	Droite	9	3	1193	1.9235384061671343	true
P2	PointCursor	160	8	0.52	Gauche	9	4	1361	0.316227766016838	true
