Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial	Timestamp	EventType	XMousePosition	YMousePosition	XTargetPosition	YTargetPosition
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	Start	341	1	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	457	96	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseOver	457	96	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	421	149	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	355	280	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	335	332	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	308	406	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	301	429	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	288	465	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	286	472	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	285	476	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	285	478	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	283	482	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	283	483	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	283	485	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	291	489	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	294	489	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	313	491	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	322	493	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	336	495	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	338	495	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	340	495	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	342	494	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	352	480	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	368	465	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	420	437	1133.5	436.5
P2	BubbleCursor	80	8	6.64	Droite	0	0	1,57764E+12	MouseMove	533	409	1133.5	436.5
