Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial
P4	BubbleCursor	160	8	0.91	Droite	3	2
P4	BubbleCursor	160	8	0.91	Gauche	3	3
P4	BubbleCursor	160	8	0.91	Droite	3	4

P4	BubbleCursor	160	8	0.52	Gauche	4	0
P4	BubbleCursor	160	8	0.52	Droite	4	1
P4	BubbleCursor	160	8	0.52	Gauche	4	2
P4	BubbleCursor	160	8	0.52	Droite	4	3
P4	BubbleCursor	160	8	0.52	Gauche	4	4

P4	PointCursor	160	8	6.64	Droite	5	0
P4	PointCursor	160	8	6.64	Gauche	5	1
P4	PointCursor	160	8	6.64	Droite	5	2
P4	PointCursor	160	8	6.64	Gauche	5	3
P4	PointCursor	160	8	6.64	Droite	5	4

P4	PointCursor	160	8	2.82	Gauche	6	0
P4	PointCursor	160	8	2.82	Droite	6	1
P4	PointCursor	160	8	2.82	Gauche	6	2
P4	PointCursor	160	8	2.82	Droite	6	3
P4	PointCursor	160	8	2.82	Gauche	6	4

P4	PointCursor	160	8	1.54	Droite	7	0
P4	PointCursor	160	8	1.54	Gauche	7	1
P4	PointCursor	160	8	1.54	Droite	7	2
P4	PointCursor	160	8	1.54	Gauche	7	3
P4	PointCursor	160	8	1.54	Droite	7	4

P4	PointCursor	160	8	0.91	Gauche	8	0
P4	PointCursor	160	8	0.91	Droite	8	1
P4	PointCursor	160	8	0.91	Gauche	8	2
P4	PointCursor	160	8	0.91	Droite	8	3
P4	PointCursor	160	8	0.91	Gauche	8	4

P4	PointCursor	160	8	0.52	Droite	9	0
P4	PointCursor	160	8	0.52	Gauche	9	1
P4	PointCursor	160	8	0.52	Droite	9	2
P4	PointCursor	160	8	0.52	Gauche	9	3
P4	PointCursor	160	8	0.52	Droite	9	4
